time,consumption,production,day,production1
8:00:00,4034.741742,-3974.042032,Friday,3974.042032
8:05:00,3984.860266,-4009.57162,Friday,4009.57162
8:10:00,3961.807636,-3979.792408,Friday,3979.792408
8:15:00,3959.998106,-3992.63117,Friday,3992.63117
8:20:00,3966.778011,-4016.594707,Friday,4016.594707
8:25:00,3954.226193,-4011.226451,Friday,4011.226451
8:30:00,3944.062187,-4011.710841,Friday,4011.710841
8:35:00,3953.070224,-3966.159275,Friday,3966.159275
8:40:00,3963.875116,-3939.233228,Friday,3939.233228
8:45:00,3966.88542,-3963.360398,Friday,3963.360398
8:50:00,3996.256351,-3934.858258,Friday,3934.858258
8:55:00,4008.455579,-3922.535165,Friday,3922.535165
9:00:00,4033.391029,-4008.534243,Friday,4008.534243
9:05:00,4110.195459,-3950.767381,Friday,3950.767381
9:10:00,4117.292955,-3960.448711,Friday,3960.448711
9:15:00,4126.50234,-3959.112485,Friday,3959.112485
9:20:00,4135.2998,-3964.190308,Friday,3964.190308
9:25:00,4136.315895,-3973.883121,Friday,3973.883121
9:30:00,4104.457192,-3977.511354,Friday,3977.511354
9:35:00,4159.905293,-3992.997455,Friday,3992.997455
9:40:00,4167.121253,-3988.305967,Friday,3988.305967
9:45:00,4178.424318,-3983.275045,Friday,3983.275045
9:50:00,4184.850556,-4010.295883,Friday,4010.295883
9:55:00,4192.692267,-3984.081943,Friday,3984.081943
10:00:00,4215.674975,-3997.289405,Friday,3997.289405
10:10:00,4206.108,-3961.561196,Friday,3961.561196
10:15:00,4261.371723,-3973.672991,Friday,3973.672991
10:20:00,4254.847669,-3965.611521,Friday,3965.611521
10:25:00,4258.287761,-3961.653143,Friday,3961.653143
10:30:00,4250.794754,-3959.653228,Friday,3959.653228
10:35:00,4216.054906,-3964.031057,Friday,3964.031057
10:40:00,4273.092275,-3985.963426,Friday,3985.963426
10:45:00,4258.468859,-3971.589538,Friday,3971.589538
10:50:00,4286.091269,-3995.654725,Friday,3995.654725
10:55:00,4294.718407,-3977.762651,Friday,3977.762651
11:00:00,4259.751014,-3973.324708,Friday,3973.324708
11:05:00,4195.610044,-3969.661582,Friday,3969.661582
11:15:00,4172.031182,-3999.873608,Friday,3999.873608
11:20:00,4205.116579,-3952.44322,Friday,3952.44322
11:25:00,4200.419321,-3942.626825,Friday,3942.626825
11:30:00,4205.101997,-3945.216586,Friday,3945.216586
11:35:00,4178.283221,-3941.255002,Friday,3941.255002
11:45:00,4225.413634,-3957.311355,Friday,3957.311355
11:50:00,4245.098884,-3950.715487,Friday,3950.715487
11:55:00,4207.23995,-3951.576878,Friday,3951.576878
12:00:00,4241.804537,-3919.177074,Friday,3919.177074
12:05:00,4309.950741,-3885.096101,Friday,3885.096101
12:10:00,4302.815654,-3880.281495,Friday,3880.281495
12:15:00,4294.668201,-3886.455503,Friday,3886.455503
12:20:00,4413.273722,-3899.086393,Friday,3899.086393
12:25:00,4413.380965,-3886.326221,Friday,3886.326221
12:30:00,4411.209987,-3875.360908,Friday,3875.360908
12:35:00,4452.146004,-3881.051509,Friday,3881.051509
12:45:00,4456.101901,-3928.700563,Friday,3928.700563
12:50:00,4430.24957,-3910.896349,Friday,3910.896349
12:55:00,4422.115734,-3885.940224,Friday,3885.940224
1:00:00,4413.982648,-3902.770705,Friday,3902.770705
1:05:00,4460.804057,-3927.427118,Friday,3927.427118
1:10:00,4449.524712,-3949.949007,Friday,3949.949007
1:20:00,4450.987482,-3908.273271,Friday,3908.273271
1:25:00,4399.269298,-3915.974351,Friday,3915.974351
1:30:00,4379.162466,-3903.51766,Friday,3903.51766
1:35:00,4379.806662,-3922.179061,Friday,3922.179061
1:40:00,4368.238207,-3939.548233,Friday,3939.548233
1:45:00,4382.905355,-3949.887184,Friday,3949.887184
1:50:00,4385.796492,-3938.5428,Friday,3938.5428
1:55:00,4378.570447,-3918.721793,Friday,3918.721793
2:00:00,4349.819521,-3924.240942,Friday,3924.240942
2:05:00,4320.139688,-3916.694866,Friday,3916.694866
2:10:00,4295.243131,-3921.733539,Friday,3921.733539
2:15:00,4316.975886,-3936.052858,Friday,3936.052858
2:20:00,4316.889435,-3956.755604,Friday,3956.755604
2:25:00,4303.366657,-3939.509683,Friday,3939.509683
2:30:00,4281.576885,-3952.820186,Friday,3952.820186
2:35:00,4306.976738,-3980.685275,Friday,3980.685275
2:40:00,4347.924252,-3989.383979,Friday,3989.383979
2:45:00,4343.075683,-3945.472696,Friday,3945.472696
2:50:00,4330.511898,-3949.401111,Friday,3949.401111
